,gene-symbol
ABCC9,208561_at
ABLIM2,1567622_at
ACE,209749_s_at
ADAM8,205180_s_at
ADAMTSL2,206629_at
ADARB1,234799_at
AKAP13,224884_at
AKT3,224229_s_at
ANGEL1,36865_at
ANGPTL2,219514_at
ANXA10,210143_at
APITD1,213454_at
AQP3,39248_at
ARHGAP8,232567_at
ARMC9,219636_s_at
ARPP19,221483_s_at
ARSI,230275_at
ASB4,235619_at
ATOX1,203454_s_at
ATP10A,214255_at
ATP6V0E1,201172_x_at
AZGP1P1,234955_at
BANK1,222915_s_at
BCL6B,228311_at
BMP1,1570383_at
BNC2,230722_at
BNIP2,226280_at
C14orf132,231859_at
C16orf72,228373_at
C1orf116,219476_at
C20orf203,1556721_at
C4orf52,225014_at
C8orf42,226778_at
CCDC134,235434_at
CCDC157,1568796_at
CCDC159,227043_at
CD300LB,1554175_at
CD40,35150_at
CDC42EP3,225685_at
CDKN1C,219534_x_at
CDYL2,227290_at
CELF2-AS1,1560255_at
CEP70,1554488_at
CEP85L,228007_at
CFLAR,237367_x_at
CHD3,208807_s_at
CHERP,1568704_a_at
CHL1,204591_at
CHRNA10,239717_at
CHRNB1,206703_at
CIITA,205101_at
CINP,230223_at
CLDN4,1569421_at
CLDN5,204482_at
CLN6,1567079_at
CLUHP3,238527_at
CMAHP,229604_at
CNTLN,239989_at
COL16A1,204345_at
CPB1,205509_at
CPE,201116_s_at
CRISP1,216314_at
CRTC3,218648_at
CSRP1,200621_at
CYP11A1,204309_at
DBR1,219149_x_at
DCAF4,226938_at
DCN,242605_at
DENND2D,238524_at
DISP1,228184_at
DNAH6,215341_at
DOCK1,241709_s_at
DTX3,235721_at
ECM1,209365_s_at
ELL2,214445_at
EMP1,229011_at
EPHB2,211165_x_at
EPPK1,234552_at
FAM115A,224030_s_at
FAM129B,223019_at
FAM76B,1553749_at
FAM86A,222013_x_at
FANCD2,223545_at
FANK1,232968_at
FBXO41,236405_at
FCRL3,231093_at
FER,206412_at
FGD2,1565752_at
FOXN3,229652_s_at
FRMD1,220819_at
FUK,226072_at
FXYD5,224252_s_at
GABARAPL1,208868_s_at
GBAS,201816_s_at
GINS4,211767_at
GJD2,221407_at
GLG1,212045_at
GLIS3,229435_at
GOLGA2,35436_at
GOLGA8A,208798_x_at
GRHL2,219388_at
GTF2A1L,220190_s_at
GTPBP3,213835_x_at
HIST1H2AC,215071_s_at
HMGA2,1559891_at
HNF4A,214851_at
HNMT,204110_at
HPX,39763_at
HTRA3,226944_at
IFITM10,1564573_at
IGFBP5,203426_s_at
IL1RN,212657_s_at
IL2RB,205291_at
IL4,207538_at
IMPAD1,227774_s_at
INPP5D,203331_s_at
IQCA1,238584_at
IRF4,204562_at
ITGB1,211945_s_at
ITPKB,203723_at
KIAA0922,209760_at
L3MBTL1,216077_s_at
LAMC1,200770_s_at
LAMC2,202267_at
LCE1E,1559224_at
LINC00242,1561327_at
LMNA,212089_at
LPP,202822_at
LRP1,200785_s_at
LSM5,202904_s_at
LTBP1,202729_s_at
LYNX1,1559388_a_at
MAGI1,1559256_at
MAP3K8,235421_at
MAP3K9,214969_at
MAP4K1,206296_x_at
MAPK11,211499_s_at
MBD5,244662_at
MEG9,228632_at
MFSD6L,1552432_at
MPZL1,201875_s_at
MSC,209928_s_at
MYO1C,225080_at
MYO5A,241966_at
NAB2,212803_at
NALCN,228608_at
NAPRT1,226707_at
NCKAP1,217465_at
NOL9,1554082_a_at
NPR2,204310_s_at
NRD1,208709_s_at
OAZ3,222075_s_at
OR2AD1P,234371_at
OSBPL5,223464_at
P4HA3,228703_at
PAPPA,228128_x_at
PCDHGA1,205717_x_at
PDCD4,212593_s_at
PDK3,221957_at
PDLIM7,214121_x_at
PHLDA3,218634_at
PHTF2,1554822_at
PI4KB,210417_s_at
PIAS3,203035_s_at
PLEKHA6,229245_at
PPIC,204518_s_at
PPIE,229375_at
PPP3CB,238522_at
PPP5D1,1566544_at
PRKCQ-AS1,240015_at
PTGS2,204748_at
PTPRB,217177_s_at
PTPRC,1552480_s_at
PVRL2,203149_at
PXDN,212013_at
QKI,241938_at
RAB3IP,238853_at
RAP1A,228548_at
RAP1GAP2,213280_at
RBM22,224068_x_at
RDM1,239169_at
RFX5,202964_s_at
RGS3,203823_at
RNF180,242985_x_at
RNH1,1555529_at
RPS10P2,217336_at
RUFY3,213437_at
RUNX1,209360_s_at
SCPEP1,1560665_at
SEL1L3,230232_at
SERPINB9,209722_s_at
SHC1,214853_s_at
SIGLEC16,1561880_a_at
SIGLEC6,206519_x_at
SLBP,206052_s_at
SLC12A3,215274_at
SLC22A23,1568718_at
SLC25A25,225212_at
SLC30A1,212907_at
SLFN12,219885_at
SPATS2L,215617_at
SPIB,205861_at
SRPX,204955_at
ST7L,233141_s_at
STAT5B,1555088_x_at
SUSD5,214954_at
SVIL,202565_s_at
SYDE1,44702_at
SYNPO,202796_at
SYNRG,232387_at
TERF2IP,201174_s_at
TFE3,1567704_at
THBS1,235086_at
TIMP1,201666_at
TJP1,202011_at
TNC,216005_at
TNFRSF10D,227345_at
TNFRSF19,227812_at
TRADD,205641_s_at
TRIP10,202734_at
TRPS1,218502_s_at
TSC22D1,239123_at
TTC22,220309_at
TTPAL,219633_at
TULP3,221964_at
TYW3,227141_at
UCHL5,1570145_at
UCP2,208998_at
USP48,229812_at
WFDC9,1552415_a_at
WLS,228949_at
XYLB,208318_s_at
YME1L1,234402_at
ZEB2,233031_at
ZRSR2,213876_x_at
